t,body,x,y,z,vx,vy,vz
0.71,Mars,-1.09375,1.06051,0,-3.54332,-3.65544,0
0.72,Sun,5.35576e-06,3.0063e-05,0,-1.57011e-06,3.48126e-05,0
0.72,Mercury,0.386378,-0.0220419,0,0.576021,10.0833,0
0.72,Venus,0.341718,0.637069,0,-6.5125,3.49138,0
0.72,Earth,-0.187325,-0.982279,0,6.17186,-1.17696,0
0.72,Mars,-1.12857,1.02337,0,-3.41925,-3.77179,0
0.73,Sun,5.34513e-06,3.04138e-05,0,-5.74126e-07,3.53828e-05,0
0.73,Mercury,0.37899,0.0783976,0,-2.04534,9.89048,0
0.73,Venus,0.274922,0.668596,0,-6.83499,2.80857,0
0.73,Earth,-0.125277,-0.992102,0,6.23359,-0.78711,0
0.73,Mars,-1.16213,0.985087,0,-3.29135,-3.88392,0
0.74,Sun,5.34386e-06,3.07712e-05,0,2.96895e-07,3.61247e-05,0
0.74,Mercury,0.345934,0.17353,0,-4.52822,9.02782,0
0.74,Venus,0.205256,0.693142,0,-7.08613,2.09638,0
0.74,Earth,-0.0627349,-0.998011,0,6.27071,-0.394149,0
0.74,Mars,-1.19438,0.945705,0,-3.15978,-3.99172,0
0.75,Sun,5.35054e-06,3.11368e-05,0,1.00924e-06,3.70152e-05,0
0.75,Mercury,0.28945,0.256911,0,-6.70447,7.55371,0
0.75,Venus,0.133447,0.71045,0,-7.26329,1.36223,0
0.75,Earth,5.47233e-05,-0.99998,0,6.28309,0.000367327,0
0.75,Mars,-1.22531,0.905268,0,-3.02468,-4.09507,0
0.76,Sun,5.36342e-06,3.15119e-05,0,1.53424e-06,3.80237e-05,0
0.76,Mercury,0.213361,0.322894,0,-8.42671,5.56792,0
0.76,Venus,0.0602433,0.720339,0,-7.36461,0.613802,0
